Customer_ID,Customer_Name,Customer_Phone,Customer_Addresss,Customer_Brithday,Customer_Occupation,Customer_Gender
11010,Jacquelyn S,1 (11) 543 535-016*,7800 Corrinne Court,16/02/1968,Labour,M  
11011,Curtis L,1 (11) 543 535-011*,1224 Shoenic,14/11/1967,Labour,M  
11012,Lauren W,717-535-016*,4785 Scott Street,28/01/1972,Labour,F  
11013,Ian J,817-535-018*,7902 Hudson Ave.,16/08/1972,Labour,M  
11014,Sydney B,431-535-015*,9011 Tank Drive,19/05/1972,Labour,M  
11015,Chloe Y,208-535-014*,244 Willow Pass Road,10/02/1983,Labour,F  
11016,Wyatt H,135-535-017*,9666 Northridge Ct.,18/04/1983,Labour,M  
11017,Shannon W,1 (11) 543 535-019*,7330 Saddlehill Lane,16/06/1948,Labour,M  
11018,Clarence R,1 (11) 543 535-013*,244 Rivewview,19/10/1948,Labour,F  
11019,Luke L,262-535-011*,7832 Landing Dr,10/03/1982,Labour,M  
11050,Alan Z,1 (11) 543 535-013*,2741 Gainborough Dr.,10/09/1955,Labour,F  
11051,Daniel J,1 (11) 543 535-015*,8085 Sunnyvale Avenue,14/08/1955,Labour,F  
11052,Heidi L,1 (11) 543 535-016*,2514 Via Cordona,10/08/1955,Labour,F  
11053,Ana P,859-535-011*,1660 Stonyhill Circle,10/08/1984,Labour,M  
11054,Deanna M,1 (11) 543 535-019*,5825 B Way,20/03/1956,Labour,M  
11055,Gilbert R,1 (11) 543 535-012*,8811 The Trees Dr.,15/03/1956,Labour,F  
11056,Michele N,1 (11) 543 535-017*,5464 Janin Pl.,13/04/1957,Labour,M  
11057,Carl A,1 (11) 543 535-018*,6930 Lake Nadine Place,21/10/1957,Labour,F  
11058,Marc D,1 (11) 543 535-014*,6645 Sinaloa,10/04/1958,Labour,F  
11059,Ashlee A,1 (11) 543 535-011*,8255 Highland Road,13/04/1958,Labour,F  
11111,Meredith G,1 (11) 543 535-017*,7610 Northridge Ct.,13/02/1966,Labour,M  
11112,Crystal W,1 (11) 543 535-013*,2773 Kirkwood Dr,19/09/1966,Labour,F  
11113,Micheal B,1 (11) 543 535-013*,596 Marfargoa Drive,13/02/1966,Labour,M  
11114,Leslie M,1 (11) 543 535-011*,7941 Cristobal,18/05/1966,Labour,M  
11115,Alvin C,1 (11) 543 535-019*,7759 Azalea Avenue,21/02/1966,Labour,M  
11116,Clinton C,1 (11) 543 535-018*,7943 Cunha Ct.,10/10/1966,Labour,M  
11117,April D,1 (11) 543 535-018*,485 Ash Lane,13/02/1965,Labour,F  
11119,Evan J,1 (11) 543 535-018*,4157 Sierra Ridge,20/04/1939,Retiree,F  
11150,Russell S,1 (11) 543 535-019*,4755 Easley Drive,25/03/1945,Retiree,F  
11151,Melinda G,1 (11) 543 535-011*,805 Rainier Dr.,15/02/1946,Labour,F  
11152,James W,355-535-015*,6827 Seagull Court,20/01/1980,Labour,F  
11153,Angela J,847-535-011*,8877 Weatherly Drive,13/06/1980,Labour,F  
11154,Megan W,918-535-018*,6898 Holiday Hills,13/08/1980,Labour,F  
11155,Hunter R,891-535-012*,8356 Mori Court,16/01/1980,Labour,F  
11156,Maria R,158-535-019*,9452 Mariposa Ct.,10/02/1980,Labour,M  
11157,Hannah L,974-535-017*,1832 Preston Ct.,23/06/1979,Labour,M  
11158,Jason W,694-535-017*,6771 Bundros Court,18/10/1979,Labour,F  
11159,Brianna H,319-535-018*,6793 Bonifacio St.,20/09/1979,Labour,F  
11210,Edward W,229-535-011*,1039 Adelaide St.,18/06/1952,Researcher,M  
